Date,Time,Pair,Price
10/06/2022,10:40:37,WBTC/USD,20053.0
10/06/2022,10:40:38,WBTC/USD,20053.0
10/06/2022,10:40:39,WBTC/USD,20053.0
10/06/2022,10:40:41,WBTC/USD,20053.0
10/06/2022,10:40:42,WBTC/USD,20053.0
10/06/2022,10:40:45,WBTC/USD,20053.0
10/06/2022,10:40:46,WBTC/USD,20053.0
10/06/2022,10:40:47,WBTC/USD,20053.0
10/06/2022,10:40:47,WBTC/USD,20053.0
10/06/2022,10:40:49,WBTC/USD,20053.0
10/06/2022,10:40:50,WBTC/USD,20053.0
10/06/2022,10:40:51,WBTC/USD,20053.0
10/06/2022,10:40:52,WBTC/USD,20053.0
10/06/2022,10:40:53,WBTC/USD,20051.0
10/06/2022,10:40:55,WBTC/USD,20051.0
10/06/2022,10:40:56,WBTC/USD,20051.0
10/06/2022,10:40:57,WBTC/USD,20051.0
10/06/2022,10:40:58,WBTC/USD,20051.0
10/06/2022,10:40:59,WBTC/USD,20048.33878329
10/06/2022,10:41:00,WBTC/USD,20051.0
10/06/2022,10:41:02,WBTC/USD,20051.0
10/06/2022,10:41:03,WBTC/USD,20051.0
10/06/2022,10:41:04,WBTC/USD,20051.0
10/06/2022,10:41:05,WBTC/USD,20048.33878329
10/06/2022,10:41:06,WBTC/USD,20048.33878329
10/06/2022,10:41:08,WBTC/USD,20048.33878329
10/06/2022,10:41:09,WBTC/USD,20048.33878329
10/06/2022,10:41:10,WBTC/USD,20048.33878329
10/06/2022,10:41:11,WBTC/USD,20048.33878329
10/06/2022,10:41:12,WBTC/USD,20048.33878329
10/06/2022,10:41:14,WBTC/USD,20048.33878329
10/06/2022,10:41:15,WBTC/USD,20045.0
10/06/2022,10:41:16,WBTC/USD,20048.33878329
10/06/2022,10:41:17,WBTC/USD,20048.33878329
10/06/2022,10:41:18,WBTC/USD,20048.33878329
10/06/2022,10:41:19,WBTC/USD,20048.33878329
10/06/2022,10:41:20,WBTC/USD,20044.0
10/06/2022,10:41:21,WBTC/USD,20048.33878329
10/06/2022,10:41:22,WBTC/USD,20048.33878329
10/06/2022,10:41:23,WBTC/USD,20048.33878329
10/06/2022,10:41:24,WBTC/USD,20048.33878329
10/06/2022,10:41:26,WBTC/USD,20048.33878329
10/06/2022,10:41:27,WBTC/USD,20048.0
10/06/2022,10:41:28,WBTC/USD,20048.0
10/06/2022,10:41:29,WBTC/USD,20048.0
10/06/2022,10:41:30,WBTC/USD,20048.0
10/06/2022,10:41:31,WBTC/USD,20048.0
10/06/2022,10:41:33,WBTC/USD,20043.0
10/06/2022,10:41:34,WBTC/USD,20048.0
10/06/2022,10:41:35,WBTC/USD,20044.0
10/06/2022,10:41:36,WBTC/USD,20043.0
10/06/2022,10:41:37,WBTC/USD,20044.0
10/06/2022,10:41:39,WBTC/USD,20043.0
10/06/2022,10:41:40,WBTC/USD,20043.0
10/06/2022,10:41:41,WBTC/USD,20043.0
10/06/2022,10:41:42,WBTC/USD,20043.0
10/06/2022,10:41:44,WBTC/USD,20043.0
10/06/2022,10:41:45,WBTC/USD,20044.0
10/06/2022,10:41:46,WBTC/USD,20043.0
10/06/2022,10:41:47,WBTC/USD,20043.0
10/06/2022,10:41:48,WBTC/USD,20043.0
10/06/2022,10:41:50,WBTC/USD,20043.0
10/06/2022,10:41:51,WBTC/USD,20043.0
10/06/2022,10:41:52,WBTC/USD,20043.0
10/06/2022,10:41:53,WBTC/USD,20043.0
10/06/2022,10:41:55,WBTC/USD,20043.0
